"geo","time","pop","gdp_pc","gini","u5mr"
"lux",1973,348173,33776.51518,27.3,18.8
"mng",1973,1397305,1854.227252,38.6,192.5994994
"abw",1973,60239,8084.392853,,
"scg_ex_kos",1973,7085418,,,
"blz",1973,129294,2911.177642,,86.3
"vir",1973,77310,,,
"rwa",1973,4102336,663.1897853,47.4,231.9
"afg",1973,12022514,1137.018463,31.1,290.8
"com",1973,242875,1521.534505,50.4,212.4
"qat",1973,142111,165564.1207,43.7,53.9
"ussr",1973,249722104,,,
"kaz",1973,13751019,12914.09465,32.5,80.8
"cod",1973,21690604,2253.492474,44.1,237.7
"tkl",1973,1574,,,
"mnp",1973,14605,,,
"cck",1973,442,,,
"mli",1973,6256192,839.4001759,42.9,384
"mar",1973,17097003,2530.301381,44.8,176.1
"aut",1973,7598925,20601.70304,37.7,26.8
"spm",1973,5736,,,
"mkd",1973,1768996,7235.459648,34.4,99.0228972
"vgb",1973,10263,,,
"nga",1973,60285453,4041.768261,44.4,260.4
"btn",1973,324465,1011.435734,47,249.5
"gmb",1973,489860,1683.5962,45.4,283.5
"civ",1973,6021405,4029.223503,46.1,217.6
"and",1973,28231,34891.55198,,
"mrt",1973,1253839,2739.215681,49.7,189.3
"npl",1973,12753028,982.0487214,51.1,250.8
"moz",1973,9901052,759.0606452,50.2,270
"tza",1973,14984973,1469.898046,42,202.7
"prk",1973,15603001,1751.12976,46.9,63.77830812
"ita",1973,54623207,18389.82464,37,27.6
"fji",1973,554109,5287.254346,46.1,54.2
"bih",1973,3885229,2803.135734,35.1,61.57556911
"jey",1973,70972,,,
"rou",1973,21233593,11647.86182,19.2,55.2
"ssd",1973,3917450,1982.700086,36.48,319.2
"asm",1973,29014,,,
"prt",1973,8923928,13148.14765,40.1,52.6
"yem_south",1973,1609417,,,
"mco",1973,24440,30259.34034,,
"swz",1973,486656,4417.272429,52.9,158.9
"syr",1973,7066474,2932.800253,41.6,89.1
"sdn",1973,11283574,1784.864222,36.5,150.8
"gha",1973,9350111,2458.366035,47.8,195.3
"nfk",1973,1806,,,
"srb",1973,8337076,11720.69539,35.1,49.18880412
"irl",1973,3076273,12834.38006,36.4,21.1
"fro",1973,39731,,,
"cri",1973,1995744,6597.189165,46.8,57.8
"che",1973,6311468,39412.00811,39.3,15.8
"chn",1973,869474823,893.6435975,29.2,96.5
"eth",1973,31028728,799.0068941,43.6,241
"bra",1973,103320787,7904.138911,55.7,122.7
"col",1973,23674505,4952.346834,49.5,86.7
"hrv",1973,4469035,13673.61842,,33.52366887
"stbar",1973,2471,,,
"aze",1973,5496061,7951.890857,34.6,74.39036617
"yem",1973,6487853,2468.518351,43.4,291.4
"egy",1973,37046807,3095.027748,41.2,229.7
"sxm",1973,8428,,,
"bhr",1973,239860,35687.9066,35,56.9
"hos",1973,685,,,
"bel",1973,9734412,21700.1696,29,20.8
"pan",1973,1653257,7075.847694,55.5,58.6
"syc",1973,56605,8204.11508,,59.2
"pyf",1973,122355,,,
"tur",1973,37366922,7441.993343,53.6,170.3
"lbn",1973,2480426,14597.46671,54.2,60.5
"tls",1973,652017,708.286542,41.1,275.7167484
"slb",1973,179354,891.7760695,46.5,85.2
"ner",1973,4887484,1077.415658,42.3,337
"are",1973,382823,60947.65294,45.1,72.8
"lca",1973,107461,3447.775652,,56.5
"ind",1973,593451889,1151.274659,40.2,202.2
"chanisl",1973,124728,,,
"eri_a_eth",1973,33798816,,,
"plw",1973,12045,35341.17305,,
"bgd",1973,68658472,970.8614267,35.1,220.7
"mlt",1973,305398,5574.007896,,23.8
"omn",1973,806989,16951.0915,40.9,190.8
"sjm",1973,2421,,,
"yug",1973,20371551,,,
"cym",1973,10785,26809.46312,,
"kos",1973,1498920,,,
"cheslo",1973,14554245,,,
"guy",1973,720919,3883.163808,46.1,73.2
"usa",1973,215092900,26566.61395,34.7,20.6
"gbm",1973,59326,,,
"mus",1973,865173,3797.0608,39.1,76.9
"swe",1973,8146472,23231.68278,19.7,11.6
"sle",1973,2656380,1562.690746,60.8,318.4
"caf",1973,1937383,1255.626132,52.8,207.1
"cyp",1973,635109,10394.40592,33.7,31.66305101
"lva",1973,2424149,8376.448331,28.3,23.3
"lao",1973,2916148,1379.871131,33.1,219.311714
"est",1973,1398497,10573.32263,26,24.33
"gbg",1973,53812,,,
"korea_union",1973,49237857,,,
"lka",1973,13253063,2039.279845,36.4,67.1
"mhl",1973,23440,2328.618538,,80.4
"nam",1973,855965,6136.219696,54.4,98.4
"nld",1973,13369326,22009.69523,29.6,14.1
"gin",1973,4319502,1002.735598,46.1,317.5
"gab",1973,624625,8348.881721,59.6,159.9159595
"mtq",1973,327897,,,
"bmu",1973,53980,33262.92486,,
"pak",1973,63062204,1764.935136,33.4,177.7
"akr_a_dhe",1973,12535,,,
"deu_east",1973,16895223,,,
"dma",1973,71745,3279.523867,,45.5
"phl",1973,39026082,3494.381249,49.7,82.3
"arm",1973,2705584,3832.229708,49.9,78.65851545
"aus",1973,13552190,21185.08652,31.2,19.4
"irn",1973,30903565,13782.49276,46.7,170.2
"gum",1973,89463,,,
"stmar",1973,21417,,,
"bwa",1973,765177,2721.892035,50.7,113.1
"eri",1973,1958444,1061.026606,47.5,215.536169
"fsm",1973,62289,2377.457082,,81.23712187
"nzl",1973,2989985,21341.88109,30,19.4
"ltu",1973,3237597,14749.28368,27.9,23.5
"pry",1973,2659084,3784.63008,50,75.1
"alb",1973,2305999,4173.677223,26.3,101.3138689
"zmb",1973,4644329,3838.589528,46.5,163.7
"myt",1973,41958,,,
"mdg",1973,7152391,2345.894221,46.9,158.2
"nru",1973,6862,58927.53613,,
